"timestamp","system_time","lat","lon","speed","bearing","provider"
"1558635951000","1558635949984","43.00596222","-78.7636572","11.25","148.9","gps"
"1558635952000","1558635950982","43.00586397","-78.76361056","12.25","154.0","gps"
"1558635953000","1558635951984","43.00576324","-78.76354349","12.25","154.0","gps"
"1558635954000","1558635952984","43.00566125","-78.7634618","12.75","156.5","gps"
"1558635955000","1558635953988","43.00554851","-78.76339225","13.75","155.5","gps"
"1558635956000","1558635954991","43.00543236","-78.76331492","13.75","157.0","gps"
"1558635957000","1558635955993","43.00531666","-78.76322647","14.25","156.7","gps"
"1558635958000","1558635956999","43.00520709","-78.76316846","14.25","157.3","gps"
"1558635959000","1558635957986","43.00509039","-78.76310185","14.25","157.3","gps"
"1558635960000","1558635958984","43.00496444","-78.76302582","14.25","157.1","gps"
"1558635961000","1558635959984","43.00484334","-78.76295614","14.25","157.1","gps"
"1558635962000","1558635960993","43.00472682","-78.76288415","14.75","155.5","gps"
"1558635963000","1558635961993","43.00461239","-78.76280774","14.75","154.7","gps"
"1558635964000","1558635962991","43.00448934","-78.76271308","14.75","151.0","gps"
"1558635965000","1558635963996","43.00437555","-78.76263004","14.0","148.5","gps"
"1558635966000","1558635964991","43.00426883","-78.76251988","15.0","143.7","gps"
"1558635967000","1558635965991","43.00416778","-78.76239977","14.75","140.3","gps"
"1558635968000","1558635966985","43.00407378","-78.76228398","15.25","135.9","gps"
"1558635969000","1558635967991","43.00398062","-78.76216213","15.75","133.0","gps"
"1558635970000","1558635968985","43.00388535","-78.76202287","15.75","133.0","gps"
"1558635971000","1558635969989","43.00378546","-78.76187057","16.0","131.7","gps"
"1558635972000","1558635970993","43.00367607","-78.76172449","16.25","133.0","gps"
"1558635973000","1558635971993","43.00358978","-78.76159472","15.25","132.4","gps"
"1558635974000","1558635972991","43.00350313","-78.76147032","15.0","133.7","gps"
"1558635975000","1558635973992","43.00340398","-78.76133917","13.75","137.0","gps"
"1558635976000","1558635974990","43.00331429","-78.76122509","13.75","137.0","gps"
"1558635977000","1558635975994","43.00321819","-78.76112487","12.25","143.7","gps"
"1558635978000","1558635976986","43.00313276","-78.76104571","11.75","147.9","gps"
"1558635979000","1558635977994","43.00304352","-78.76097148","12.0","151.8","gps"
"1558635980000","1558635978990","43.00294077","-78.7609099","11.75","155.6","gps"
"1558635981000","1558635979992","43.00284388","-78.7608503","12.0","159.1","gps"
"1558635982000","1558635980994","43.0027456","-78.76081229","12.0","164.5","gps"
"1558635983000","1558635981985","43.00264297","-78.7607735","12.0","164.5","gps"
"1558635984000","1558635982992","43.00253252","-78.76077166","11.5","173.4","gps"
"1558635985000","1558635983991","43.00243482","-78.76074735","11.5","175.1","gps"
"1558635986000","1558635984992","43.00234214","-78.76073069","11.75","178.6","gps"
"1558635987000","1558635985987","43.00223792","-78.76072717","11.75","178.6","gps"
"1558635988000","1558635986992","43.00213312","-78.76075448","12.0","183.7","gps"
"1558635989000","1558635987993","43.00202758","-78.7607619","12.25","183.9","gps"
"1558635990000","1558635988994","43.00191268","-78.76078016","12.75","185.5","gps"
"1558635991000","1558635989984","43.00179953","-78.76079497","12.75","185.5","gps"
"1558635992000","1558635990985","43.00165263","-78.76079565","13.75","183.9","gps"
"1558635993000","1558635991984","43.00152912","-78.76079955","14.5","183.7","gps"
"1558635994000","1558635992990","43.0013901","-78.76081224","15.25","183.9","gps"
"1558635995000","1558635993995","43.00125149","-78.76080699","15.75","183.2","gps"
"1558635996000","1558635994992","43.00109929","-78.76081871","16.25","182.5","gps"
"1558635997000","1558635995994","43.00095208","-78.76083985","16.75","183.1","gps"
"1558635998000","1558635996985","43.00080221","-78.76085096","16.75","183.1","gps"
"1558635999000","1558635997981","43.00065235","-78.76086207","16.75","183.1","gps"
"1558636000000","1558635998990","43.00047645","-78.76091496","17.25","186.7","gps"
"1558636001000","1558635999990","43.00031527","-78.76097712","17.75","187.7","gps"
"1558636002000","1558636000993","43.00015807","-78.76099036","18.0","185.6","gps"
"1558636003000","1558636001985","42.99999888","-78.76101144","18.0","185.6","gps"
"1558636004000","1558636002992","42.9998094","-78.7610132","18.0","184.6","gps"
"1558636005000","1558636003994","42.99965262","-78.76102301","18.0","184.0","gps"
"1558636006000","1558636004991","42.99949845","-78.76105375","17.75","185.4","gps"
"1558636007000","1558636005986","42.99933443","-78.76107725","17.5","185.3","gps"
"1558636008000","1558636006990","42.99917384","-78.76107064","17.5","181.6","gps"
"1558636009000","1558636007987","42.99901308","-78.76107665","17.5","181.6","gps"
"1558636010000","1558636008994","42.9988872","-78.76105756","16.75","179.1","gps"
"1558636011000","1558636009991","42.99874586","-78.76103427","16.5","173.7","gps"
"1558636012000","1558636010984","42.99859377","-78.76101142","16.5","173.7","gps"
"1558636013000","1558636011989","42.99845853","-78.7609557","16.5","166.0","gps"
"1558636014000","1558636012992","42.99831401","-78.76090657","16.25","166.0","gps"
"1558636015000","1558636013991","42.99816391","-78.76085617","16.75","165.6","gps"
"1558636016000","1558636014996","42.99800917","-78.76080283","17.0","165.7","gps"
"1558636017000","1558636015992","42.997855","-78.76074936","16.75","166.3","gps"
"1558636018000","1558636016991","42.99770637","-78.76069523","17.25","165.3","gps"
"1558636019000","1558636017991","42.99754922","-78.76063721","17.5","165.5","gps"
"1558636020000","1558636018990","42.99739623","-78.76059457","17.75","165.2","gps"
"1558636021000","1558636019992","42.99723913","-78.76054993","17.75","165.1","gps"
"1558636022000","1558636020989","42.99708386","-78.7604901","17.75","165.1","gps"
"1558636023000","1558636021991","42.99692831","-78.76044126","17.5","165.8","gps"
"1558636024000","1558636022992","42.99678371","-78.76040293","17.5","165.1","gps"
"1558636025000","1558636023985","42.99662758","-78.76034639","17.5","165.1","gps"
"1558636026000","1558636024984","42.99647634","-78.76029162","17.5","165.1","gps"
"1558636027000","1558636025985","42.99632312","-78.76026183","17.25","167.0","gps"
"1558636028000","1558636026986","42.99617503","-78.76021138","16.75","167.5","gps"
"1558636029000","1558636027988","42.99603862","-78.76014826","17.0","165.7","gps"
"1558636030000","1558636028984","42.99589672","-78.76008456","16.75","165.5","gps"
"1558636031000","1558636029985","42.99575617","-78.76002627","16.5","165.2","gps"
"1558636032000","1558636030985","42.99561192","-78.75997314","16.0","165.1","gps"
"1558636033000","1558636031983","42.99547572","-78.75991052","15.5","165.4","gps"
"1558636034000","1558636032991","42.99534708","-78.7598687","15.25","165.4","gps"
"1558636035000","1558636033992","42.99521395","-78.75982295","14.75","166.6","gps"
"1558636036000","1558636034985","42.99508237","-78.75978018","14.75","166.6","gps"
"1558636037000","1558636035986","42.99497583","-78.75973895","13.75","167.7","gps"
"1558636038000","1558636036992","42.99486506","-78.75970374","13.25","168.8","gps"
"1558636039000","1558636037991","42.99475266","-78.75967967","13.0","170.3","gps"
"1558636040000","1558636038989","42.99463748","-78.75964889","13.25","173.0","gps"
"1558636041000","1558636039991","42.99451228","-78.75963515","13.5","174.8","gps"
"1558636042000","1558636040994","42.99440407","-78.75961643","13.5","175.6","gps"
"1558636043000","1558636041991","42.99428166","-78.75960768","14.25","175.7","gps"
"1558636044000","1558636042991","42.99413746","-78.75958661","14.25","175.9","gps"
"1558636045000","1558636043992","42.99401301","-78.75956644","14.25","175.6","gps"
"1558636046000","1558636044984","42.99388604","-78.75955304","14.25","175.6","gps"
"1558636047000","1558636045983","42.99375452","-78.759545","14.5","176.8","gps"
"1558636048000","1558636046985","42.99362492","-78.75953522","14.5","176.8","gps"
"1558636049000","1558636047993","42.9934902","-78.75950338","14.0","176.1","gps"
"1558636050000","1558636049039","42.99336688","-78.75949255","14.0","176.3","gps"
"1558636051000","1558636049988","42.99324925","-78.75949083","13.75","178.3","gps"
"1558636052000","1558636050984","42.99312359","-78.75948581","13.75","178.3","gps"
"1558636053000","1558636051989","42.99300299","-78.75950734","13.0","182.5","gps"
"1558636054000","1558636052991","42.99290843","-78.75951518","12.5","183.5","gps"
"1558636055000","1558636053991","42.99280145","-78.75951908","12.0","184.3","gps"
"1558636056000","1558636054996","42.9927036","-78.7595366","12.0","186.9","gps"
"1558636057000","1558636055992","42.99259393","-78.75955901","11.5","188.3","gps"
"1558636058000","1558636056992","42.99249825","-78.75958909","11.5","188.9","gps"
"1558636059000","1558636057992","42.99239328","-78.75960679","11.25","189.4","gps"
"1558636060000","1558636058991","42.99229669","-78.75963052","10.5","188.7","gps"
"1558636061000","1558636059992","42.99221351","-78.75965343","9.25","188.5","gps"
"1558636062000","1558636060992","42.99213321","-78.75967395","8.75","188.4","gps"
"1558636063000","1558636061990","42.99205429","-78.75968821","8.0","187.9","gps"
"1558636064000","1558636062992","42.99198763","-78.75970391","8.0","186.9","gps"
"1558636065000","1558636063992","42.99190207","-78.75972195","8.75","188.7","gps"
"1558636066000","1558636064991","42.99181445","-78.75973887","9.25","190.6","gps"
"1558636067000","1558636065993","42.99172835","-78.75975375","9.5","192.5","gps"
"1558636068000","1558636066990","42.99163642","-78.75976961","9.25","191.7","gps"
